underwriter,team
April Dolphin,team 3
Carly Palmer,team 3
Charlie Barnes,team 2
Deepa Nathvani,team 1
Harvey Cooper,team 1
Javier Neo,team 1
Keith Broughton,team 1
Kwang Hoon Song,team 3
Sam Kimber,team 1
Tim Turner,team 3
